id,title,url,artistUrl,artistName,artistId,completitionYear,width,image,height,movement,file_path
57728a68edc2cb388010fa7e,Adelina Morton,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1810.0,496,https://uploads5.wikiart.org/images/joshua-johnson/adelina-morton-1810.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a68edc2cb388010fa7e.jpg
57728a68edc2cb388010fa90,BENJAMIN FRANKLIN YOE AND SON,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1810.0,483,https://uploads2.wikiart.org/images/joshua-johnson/benjamin-franklin-yoe-and-son-1810.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a68edc2cb388010fa90.jpg
57728a69edc2cb388010faa0,Edward and Sarah Rutter,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1805.0,450,https://uploads4.wikiart.org/images/joshua-johnson/edward-and-sarah-rutter-1805.jpg,507,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010faa0.jpg
57728a69edc2cb388010fab0,Family Group,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1800.0,750,https://uploads3.wikiart.org/images/joshua-johnson/family-group-1800.jpg!Large.jpg,483,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fab0.jpg
57728a69edc2cb388010fac0,Girl Wearing a Bonnet,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1810.0,504,https://uploads3.wikiart.org/images/joshua-johnson/girl-wearing-a-bonnet-1810.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fac0.jpg
57728a69edc2cb388010fad0,Grace Allison McCurdy and Her Daughters,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1804.0,534,https://uploads3.wikiart.org/images/joshua-johnson/grace-allison-mccurdy-and-her-daughters-1804.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fad0.jpg
57728a69edc2cb388010fae0,"John Jacob Anderson and Sons, John and Edward",,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1815.0,750,https://uploads8.wikiart.org/images/joshua-johnson/john-jacob-anderson-and-sons-john-and-edward-1815.jpg!Large.jpg,580,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fae0.jpg
57728a69edc2cb388010faf0,Letitia Grace McCurdy,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1802.0,482,https://uploads3.wikiart.org/images/joshua-johnson/letitia-grace-mccurdy-1802.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010faf0.jpg
57728a69edc2cb388010fb00,Mr. and Mrs. Hilmer Schumacher,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,,450,https://uploads4.wikiart.org/images/joshua-johnson/mr-and-mrs-hilmer-schumacher.jpg,276,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fb00.jpg
57728a69edc2cb388010fb10,Mr. Baylor,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1805.0,481,https://uploads0.wikiart.org/images/joshua-johnson/mr-baylor-1805.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fb10.jpg
57728a69edc2cb388010fb20,"Mrs. Abraham White, Jr. and Daughter Rose",,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1809.0,507,https://uploads2.wikiart.org/images/joshua-johnson/mrs-abraham-white-jr-and-daughter-rose-1809.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fb20.jpg
57728a69edc2cb388010fb30,Mrs. John Moale (Ellin North) and Ellin North Moale,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1800.0,513,https://uploads3.wikiart.org/images/joshua-johnson/mrs-john-moale-ellin-north-and-ellin-north-moale-1800.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fb30.jpg
57728a69edc2cb388010fb40,Portrait of Adelia Ellender,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,,330,https://uploads8.wikiart.org/images/joshua-johnson/portrait-of-adelia-ellender-1832.jpg,416,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fb40.jpg
57728a69edc2cb388010fb50,Portrait of an African American Man,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1820.0,440,https://uploads8.wikiart.org/images/joshua-johnson/portrait-of-an-african-american-man-1820.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fb50.jpg
57728a69edc2cb388010fb60,Portrait of an Unknown Gentleman,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,,507,https://uploads0.wikiart.org/images/joshua-johnson/portrait-of-an-unknown-gentleman.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fb60.jpg
57728a69edc2cb388010fb70,PORTRAIT OF ELISHA STANSBURY,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,,287,https://uploads4.wikiart.org/images/joshua-johnson/portrait-of-elisha-stansbury.jpg,400,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fb70.jpg
57728a69edc2cb388010fb80,Portrait of Isabella Taylor,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1805.0,288,https://uploads8.wikiart.org/images/joshua-johnson/portrait-of-isabella-taylor-1805.jpg,350,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fb80.jpg
57728a69edc2cb388010fb90,Portrait of Mrs. Barbara Baker Murphy,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1810.0,485,https://uploads0.wikiart.org/images/joshua-johnson/portrait-of-mrs-barbara-baker-murphy-1810.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fb90.jpg
57728a69edc2cb388010fba0,Portrait of Sea Captain John Murphy,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1810.0,484,https://uploads8.wikiart.org/images/joshua-johnson/portrait-of-sea-captain-john-murphy-1810.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fba0.jpg
57728a69edc2cb388010fbb0,Sarah Ogden Gustin,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1805.0,474,https://uploads0.wikiart.org/images/joshua-johnson/sarah-ogden-gustin-1805.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fbb0.jpg
57728a69edc2cb388010fbc0,The Westwood Children,,joshua-johnson,Joshua Johnson,57726e02edc2cb3880b55dba,1807.0,671,https://uploads3.wikiart.org/images/joshua-johnson/the-westwood-children-1807.jpg!Large.jpg,600,naive_art,downloaded_images_wikiart\naive_art\57728a69edc2cb388010fbc0.jpg
