movement,file_path
naive_art,resized_imgs_curated\57728a68edc2cb388010fa7e.jpg
naive_art,resized_imgs_curated\57728a68edc2cb388010fa90.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010faa0.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fab0.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fac0.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fad0.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fae0.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010faf0.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fb00.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fb10.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fb20.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fb30.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fb40.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fb50.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fb60.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fb70.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fb80.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fb90.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fba0.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fbb0.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fbc0.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fbd3.jpg
naive_art,resized_imgs_curated\57728a69edc2cb388010fbe3.jpg
naive_art,resized_imgs_curated\57726edcedc2cb3880b89f42.jpg
naive_art,resized_imgs_curated\57726edcedc2cb3880b89f54.jpg
naive_art,resized_imgs_curated\57726edcedc2cb3880b89f64.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b89f74.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b89f84.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b89f94.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b89fa4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b89fb4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b89fc4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b89fd4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b89fe4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b89ff4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a004.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a014.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a024.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a034.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a044.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a054.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a064.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a074.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a084.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a094.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a0a4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a0b4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a0c4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a0d4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a0e4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a0f4.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a104.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a114.jpg
naive_art,resized_imgs_curated\57726eddedc2cb3880b8a124.jpg
naive_art,resized_imgs_curated\57726edeedc2cb3880b8a134.jpg
naive_art,resized_imgs_curated\57726edeedc2cb3880b8a144.jpg
naive_art,resized_imgs_curated\57726edeedc2cb3880b8a154.jpg
naive_art,resized_imgs_curated\57726edeedc2cb3880b8a164.jpg
naive_art,resized_imgs_curated\57726edeedc2cb3880b8a174.jpg
naive_art,resized_imgs_curated\57726edeedc2cb3880b8a184.jpg
naive_art,resized_imgs_curated\57726edeedc2cb3880b8a194.jpg
naive_art,resized_imgs_curated\57726edeedc2cb3880b8a1aa.jpg
naive_art,resized_imgs_curated\57726edeedc2cb3880b8a211.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f1ffb.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f200d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f201d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f202d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f203d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f204d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f205d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f206d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f207d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f208d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f209d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f20ad.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f20bd.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f20cd.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f20dd.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f20ed.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f20fd.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f210d.jpg
naive_art,resized_imgs_curated\577289dbedc2cb38800f211d.jpg
